Implementation smell,Namespace,Class,File,Method,Description
Long Statement,SisoDb.Specifications.Model,QueryBigIdentityItem,F:\newReposMay17\danielwertheim_SisoDb-Provider\Source\Tests\SisoDb.Specifications.Sql2012\..\sisodb.specifications\model\QueryBigIdentityItem.cs,AsJson,The length of the statement  "	return JsonFormat.Inject (StructureId' SortOrder' IntegerValue' NullableIntegerValue' StringValue' GuidValue.ToString ("N")' BoolValue.ToString ().ToLower ()); " is 159.
Magic Number,SisoDb.Specifications.Model,QueryXItem,F:\newReposMay17\danielwertheim_SisoDb-Provider\Source\Tests\SisoDb.Specifications.Sql2012\..\sisodb.specifications\model\QueryXItem.cs,CreateTenItems,The following statement contains a magic number: return IfStringIdApplyStringIdValue (new[] {  	new TItem {  		SortOrder = 1'  		IntegerValue = 100'  		NullableIntegerValue = 100'  		StringValue = "A"'  		GuidValue = Guid.Parse ("00000001-0000-0000-0000-000000000000")'  		BoolValue = false  	}'  	new TItem {  		SortOrder = 2'  		IntegerValue = 200'  		NullableIntegerValue = 200'  		StringValue = "B"'  		GuidValue = Guid.Parse ("00000002-0000-0000-0000-000000000000")'  		BoolValue = false  	}'  	new TItem {  		SortOrder = 3'  		IntegerValue = 300'  		NullableIntegerValue = 300'  		StringValue = "C"'  		GuidValue = Guid.Parse ("00000003-0000-0000-0000-000000000000")'  		BoolValue = false  	}'  	new TItem {  		SortOrder = 4'  		IntegerValue = 400'  		NullableIntegerValue = 400'  		StringValue = "D"'  		GuidValue = Guid.Parse ("00000004-0000-0000-0000-000000000000")'  		BoolValue = false  	}'  	new TItem {  		SortOrder = 5'  		IntegerValue = 500'  		NullableIntegerValue = 500'  		StringValue = "E"'  		GuidValue = Guid.Parse ("00000005-0000-0000-0000-000000000000")'  		BoolValue = false  	}'  	new TItem {  		SortOrder = 6'  		IntegerValue = 600'  		NullableIntegerValue = 600'  		StringValue = "F"'  		GuidValue = Guid.Parse ("00000006-0000-0000-0000-000000000000")'  		BoolValue = true  	}'  	new TItem {  		SortOrder = 7'  		IntegerValue = 700'  		NullableIntegerValue = 700'  		StringValue = "G"'  		GuidValue = Guid.Parse ("00000007-0000-0000-0000-000000000000")'  		BoolValue = true  	}'  	new TItem {  		SortOrder = 8'  		IntegerValue = 800'  		NullableIntegerValue = 800'  		StringValue = "H"'  		GuidValue = Guid.Parse ("00000008-0000-0000-0000-000000000000")'  		BoolValue = true  	}'  	new TItem {  		SortOrder = 9'  		IntegerValue = 900'  		NullableIntegerValue = 900'  		StringValue = "I"'  		GuidValue = Guid.Parse ("00000009-0000-0000-0000-000000000000")'  		BoolValue = true  	}'  	new TItem {  		SortOrder = 10'  		IntegerValue = 1000'  		NullableIntegerValue = 1000'  		StringValue = "J"'  		GuidValue = Guid.Parse ("00000010-0000-0000-0000-000000000000")'  		BoolValue = true  	}  });  
Magic Number,SisoDb.Specifications.Model,QueryXItem,F:\newReposMay17\danielwertheim_SisoDb-Provider\Source\Tests\SisoDb.Specifications.Sql2012\..\sisodb.specifications\model\QueryXItem.cs,CreateTenItems,The following statement contains a magic number: return IfStringIdApplyStringIdValue (new[] {  	new TItem {  		SortOrder = 1'  		IntegerValue = 100'  		NullableIntegerValue = 100'  		StringValue = "A"'  		GuidValue = Guid.Parse ("00000001-0000-0000-0000-000000000000")'  		BoolValue = false  	}'  	new TItem {  		SortOrder = 2'  		IntegerValue = 200'  		NullableIntegerValue = 200'  		StringValue = "B"'  		GuidValue = Guid.Parse ("00000002-0000-0000-0000-000000000000")'  		BoolValue = false  	}'  	new TItem {  		SortOrder = 3'  		IntegerValue = 300'  		NullableIntegerValue = 300'  		StringValue = "C"'  		GuidValue = Guid.Parse ("00000003-0000-0000-0000-000000000000")'  		BoolValue = false  	}'  	new TItem {  		SortOrder = 4'  		IntegerValue = 400'  		NullableIntegerValue = 400'  		StringValue = "D"'  		GuidValue = Guid.Parse ("00000004-0000-0000-0000-000000000000")'  		BoolValue = false  	}'  	new TItem {  		SortOrder = 5'  		IntegerValue = 500'  		NullableIntegerValue = 500'  		StringValue = "E"'  		GuidValue = Guid.Parse ("00000005-0000-0000-0000-000000000000")'  		BoolValue = false  	}'  	new TItem {  		SortOrder = 6'  		IntegerValue = 600'  		NullableIntegerValue = 600'  		StringValue = "F"'  		GuidValue = Guid.Parse ("00000006-0000-0000-0000-000000000000")'  		BoolValue = true  	}'  	new TItem {  		SortOrder = 7'  		IntegerValue = 700'  		NullableIntegerValue = 700'  		StringValue = "G"'  		GuidValue = Guid.Parse ("00000007-0000-0000-0000-000000000000")'  		BoolValue = true  	}'  	new TItem {  		SortOrder = 8'  		IntegerValue = 800'  		NullableIntegerValue = 800'  		StringValue = "H"'  		GuidValue = Guid.Parse ("00000008-0000-0000-0000-000000000000")'  		BoolValue = true  	}'  	new TItem {  		SortOrder = 9'  		IntegerValue = 900'  		NullableIntegerValue = 900'  		StringValue = "I"'  		GuidValue = Guid.Parse ("00000009-0000-0000-0000-000000000000")'  		BoolValue = true  	}'  	new TItem {  		SortOrder = 10'  		IntegerValue = 1000'  		NullableIntegerValue = 1000'  		StringValue = "J"'  		GuidValue = Guid.Parse ("00000010-0000-0000-0000-000000000000")'  		BoolValue = true  	}  });  
Magic Number,SisoDb.Specifications.Model,QueryXItem,F:\newReposMay17\danielwertheim_SisoDb-Provider\Source\Tests\SisoDb.Specifications.Sql2012\..\sisodb.specifications\model\QueryXItem.cs,CreateTenItems,The following statement contains a magic number: return IfStringIdApplyStringIdValue (new[] {  	new TItem {  		SortOrder = 1'  		IntegerValue = 100'  		NullableIntegerValue = 100'  		StringValue = "A"'  		GuidValue = Guid.Parse ("00000001-0000-0000-0000-000000000000")'  		BoolValue = false  	}'  	new TItem {  		SortOrder = 2'  		IntegerValue = 200'  		NullableIntegerValue = 200'  		StringValue = "B"'  		GuidValue = Guid.Parse ("00000002-0000-0000-0000-000000000000")'  		BoolValue = false  	}'  	new TItem {  		SortOrder = 3'  		IntegerValue = 300'  		NullableIntegerValue = 300'  		StringValue = "C"'  		GuidValue = Guid.Parse ("00000003-0000-0000-0000-000000000000")'  		BoolValue = false  	}'  	new TItem {  		SortOrder = 4'  		IntegerValue = 400'  		NullableIntegerValue = 400'  		StringValue = "D"'  		GuidValue = Guid.Parse ("00000004-0000-0000-0000-000000000000")'  		BoolValue = false  	}'  	new TItem {  		SortOrder = 5'  		IntegerValue = 500'  		NullableIntegerValue = 500'  		StringValue = "E"'  		GuidValue = Guid.Parse ("00000005-0000-0000-0000-000000000000")'  		BoolValue = false  	}'  	new TItem {  		SortOrder = 6'  		IntegerValue = 600'  		NullableIntegerValue = 600'  		StringValue = "F"'  		GuidValue = Guid.Parse ("00000006-0000-0000-0000-000000000000")'  		BoolValue = true  	}'  	new TItem {  		SortOrder = 7'  		IntegerValue = 700'  		NullableIntegerValue = 700'  		StringValue = "G"'  		GuidValue = Guid.Parse ("00000007-0000-0000-0000-000000000000")'  		BoolValue = true  	}'  	new TItem {  		SortOrder = 8'  		IntegerValue = 800'  		NullableIntegerValue = 800'  		StringValue = "H"'  		GuidValue = Guid.Parse ("00000008-0000-0000-0000-000000000000")'  		BoolValue = true  	}'  	new TItem {  		SortOrder = 9'  		IntegerValue = 900'  		NullableIntegerValue = 900'  		StringValue = "I"'  		GuidValue = Guid.Parse ("00000009-0000-0000-0000-000000000000")'  		BoolValue = true  	}'  	new TItem {  		SortOrder = 10'  		IntegerValue = 1000'  		NullableIntegerValue = 1000'  		StringValue = "J"'  		GuidValue = Guid.Parse ("00000010-0000-0000-0000-000000000000")'  		BoolValue = true  	}  });  
Magic Number,SisoDb.Specifications.Model,QueryXItem,F:\newReposMay17\danielwertheim_SisoDb-Provider\Source\Tests\SisoDb.Specifications.Sql2012\..\sisodb.specifications\model\QueryXItem.cs,CreateTenItems,The following statement contains a magic number: return IfStringIdApplyStringIdValue (new[] {  	new TItem {  		SortOrder = 1'  		IntegerValue = 100'  		NullableIntegerValue = 100'  		StringValue = "A"'  		GuidValue = Guid.Parse ("00000001-0000-0000-0000-000000000000")'  		BoolValue = false  	}'  	new TItem {  		SortOrder = 2'  		IntegerValue = 200'  		NullableIntegerValue = 200'  		StringValue = "B"'  		GuidValue = Guid.Parse ("00000002-0000-0000-0000-000000000000")'  		BoolValue = false  	}'  	new TItem {  		SortOrder = 3'  		IntegerValue = 300'  		NullableIntegerValue = 300'  		StringValue = "C"'  		GuidValue = Guid.Parse ("00000003-0000-0000-0000-000000000000")'  		BoolValue = false  	}'  	new TItem {  		SortOrder = 4'  		IntegerValue = 400'  		NullableIntegerValue = 400'  		StringValue = "D"'  		GuidValue = Guid.Parse ("00000004-0000-0000-0000-000000000000")'  		BoolValue = false  	}'  	new TItem {  		SortOrder = 5'  		IntegerValue = 500'  		NullableIntegerValue = 500'  		StringValue = "E"'  		GuidValue = Guid.Parse ("00000005-0000-0000-0000-000000000000")'  		BoolValue = false  	}'  	new TItem {  		SortOrder = 6'  		IntegerValue = 600'  		NullableIntegerValue = 600'  		StringValue = "F"'  		GuidValue = Guid.Parse ("00000006-0000-0000-0000-000000000000")'  		BoolValue = true  	}'  	new TItem {  		SortOrder = 7'  		IntegerValue = 700'  		NullableIntegerValue = 700'  		StringValue = "G"'  		GuidValue = Guid.Parse ("00000007-0000-0000-0000-000000000000")'  		BoolValue = true  	}'  	new TItem {  		SortOrder = 8'  		IntegerValue = 800'  		NullableIntegerValue = 800'  		StringValue = "H"'  		GuidValue = Guid.Parse ("00000008-0000-0000-0000-000000000000")'  		BoolValue = true  	}'  	new TItem {  		SortOrder = 9'  		IntegerValue = 900'  		NullableIntegerValue = 900'  		StringValue = "I"'  		GuidValue = Guid.Parse ("00000009-0000-0000-0000-000000000000")'  		BoolValue = true  	}'  	new TItem {  		SortOrder = 10'  		IntegerValue = 1000'  		NullableIntegerValue = 1000'  		StringValue = "J"'  		GuidValue = Guid.Parse ("00000010-0000-0000-0000-000000000000")'  		BoolValue = true  	}  });  
Magic Number,SisoDb.Specifications.Model,QueryXItem,F:\newReposMay17\danielwertheim_SisoDb-Provider\Source\Tests\SisoDb.Specifications.Sql2012\..\sisodb.specifications\model\QueryXItem.cs,CreateTenItems,The following statement contains a magic number: return IfStringIdApplyStringIdValue (new[] {  	new TItem {  		SortOrder = 1'  		IntegerValue = 100'  		NullableIntegerValue = 100'  		StringValue = "A"'  		GuidValue = Guid.Parse ("00000001-0000-0000-0000-000000000000")'  		BoolValue = false  	}'  	new TItem {  		SortOrder = 2'  		IntegerValue = 200'  		NullableIntegerValue = 200'  		StringValue = "B"'  		GuidValue = Guid.Parse ("00000002-0000-0000-0000-000000000000")'  		BoolValue = false  	}'  	new TItem {  		SortOrder = 3'  		IntegerValue = 300'  		NullableIntegerValue = 300'  		StringValue = "C"'  		GuidValue = Guid.Parse ("00000003-0000-0000-0000-000000000000")'  		BoolValue = false  	}'  	new TItem {  		SortOrder = 4'  		IntegerValue = 400'  		NullableIntegerValue = 400'  		StringValue = "D"'  		GuidValue = Guid.Parse ("00000004-0000-0000-0000-000000000000")'  		BoolValue = false  	}'  	new TItem {  		SortOrder = 5'  		IntegerValue = 500'  		NullableIntegerValue = 500'  		StringValue = "E"'  		GuidValue = Guid.Parse ("00000005-0000-0000-0000-000000000000")'  		BoolValue = false  	}'  	new TItem {  		SortOrder = 6'  		IntegerValue = 600'  		NullableIntegerValue = 600'  		StringValue = "F"'  		GuidValue = Guid.Parse ("00000006-0000-0000-0000-000000000000")'  		BoolValue = true  	}'  	new TItem {  		SortOrder = 7'  		IntegerValue = 700'  		NullableIntegerValue = 700'  		StringValue = "G"'  		GuidValue = Guid.Parse ("00000007-0000-0000-0000-000000000000")'  		BoolValue = true  	}'  	new TItem {  		SortOrder = 8'  		IntegerValue = 800'  		NullableIntegerValue = 800'  		StringValue = "H"'  		GuidValue = Guid.Parse ("00000008-0000-0000-0000-000000000000")'  		BoolValue = true  	}'  	new TItem {  		SortOrder = 9'  		IntegerValue = 900'  		NullableIntegerValue = 900'  		StringValue = "I"'  		GuidValue = Guid.Parse ("00000009-0000-0000-0000-000000000000")'  		BoolValue = true  	}'  	new TItem {  		SortOrder = 10'  		IntegerValue = 1000'  		NullableIntegerValue = 1000'  		StringValue = "J"'  		GuidValue = Guid.Parse ("00000010-0000-0000-0000-000000000000")'  		BoolValue = true  	}  });  
Magic Number,SisoDb.Specifications.Model,QueryXItem,F:\newReposMay17\danielwertheim_SisoDb-Provider\Source\Tests\SisoDb.Specifications.Sql2012\..\sisodb.specifications\model\QueryXItem.cs,CreateFourUnorderedItems,The following statement contains a magic number: return IfStringIdApplyStringIdValue (new[] {  	new TItem {  		SortOrder = 2'  		IntegerValue = 400'  		NullableIntegerValue = 400'  		StringValue = "D"'  		GuidValue = Guid.Parse ("00000004-0000-0000-0000-000000000000")'  		BoolValue = true  	}'  	new TItem {  		SortOrder = 2'  		IntegerValue = 300'  		NullableIntegerValue = 300'  		StringValue = "C"'  		GuidValue = Guid.Parse ("00000003-0000-0000-0000-000000000000")'  		BoolValue = true  	}'  	new TItem {  		SortOrder = 1'  		IntegerValue = 200'  		NullableIntegerValue = 200'  		StringValue = "B"'  		GuidValue = Guid.Parse ("00000002-0000-0000-0000-000000000000")'  		BoolValue = false  	}'  	new TItem {  		SortOrder = 1'  		IntegerValue = 100'  		NullableIntegerValue = 100'  		StringValue = "A"'  		GuidValue = Guid.Parse ("00000001-0000-0000-0000-000000000000")'  		BoolValue = false  	}  });  
Magic Number,SisoDb.Specifications.Model,QueryXItem,F:\newReposMay17\danielwertheim_SisoDb-Provider\Source\Tests\SisoDb.Specifications.Sql2012\..\sisodb.specifications\model\QueryXItem.cs,CreateFourUnorderedItems,The following statement contains a magic number: return IfStringIdApplyStringIdValue (new[] {  	new TItem {  		SortOrder = 2'  		IntegerValue = 400'  		NullableIntegerValue = 400'  		StringValue = "D"'  		GuidValue = Guid.Parse ("00000004-0000-0000-0000-000000000000")'  		BoolValue = true  	}'  	new TItem {  		SortOrder = 2'  		IntegerValue = 300'  		NullableIntegerValue = 300'  		StringValue = "C"'  		GuidValue = Guid.Parse ("00000003-0000-0000-0000-000000000000")'  		BoolValue = true  	}'  	new TItem {  		SortOrder = 1'  		IntegerValue = 200'  		NullableIntegerValue = 200'  		StringValue = "B"'  		GuidValue = Guid.Parse ("00000002-0000-0000-0000-000000000000")'  		BoolValue = false  	}'  	new TItem {  		SortOrder = 1'  		IntegerValue = 100'  		NullableIntegerValue = 100'  		StringValue = "A"'  		GuidValue = Guid.Parse ("00000001-0000-0000-0000-000000000000")'  		BoolValue = false  	}  });  
Magic Number,SisoDb.Specifications.Model,QueryXItem,F:\newReposMay17\danielwertheim_SisoDb-Provider\Source\Tests\SisoDb.Specifications.Sql2012\..\sisodb.specifications\model\QueryXItem.cs,CreateFourUnorderedItems,The following statement contains a magic number: return IfStringIdApplyStringIdValue (new[] {  	new TItem {  		SortOrder = 2'  		IntegerValue = 400'  		NullableIntegerValue = 400'  		StringValue = "D"'  		GuidValue = Guid.Parse ("00000004-0000-0000-0000-000000000000")'  		BoolValue = true  	}'  	new TItem {  		SortOrder = 2'  		IntegerValue = 300'  		NullableIntegerValue = 300'  		StringValue = "C"'  		GuidValue = Guid.Parse ("00000003-0000-0000-0000-000000000000")'  		BoolValue = true  	}'  	new TItem {  		SortOrder = 1'  		IntegerValue = 200'  		NullableIntegerValue = 200'  		StringValue = "B"'  		GuidValue = Guid.Parse ("00000002-0000-0000-0000-000000000000")'  		BoolValue = false  	}'  	new TItem {  		SortOrder = 1'  		IntegerValue = 100'  		NullableIntegerValue = 100'  		StringValue = "A"'  		GuidValue = Guid.Parse ("00000001-0000-0000-0000-000000000000")'  		BoolValue = false  	}  });  
Magic Number,SisoDb.Specifications.Model,QueryXItem,F:\newReposMay17\danielwertheim_SisoDb-Provider\Source\Tests\SisoDb.Specifications.Sql2012\..\sisodb.specifications\model\QueryXItem.cs,CreateFourUnorderedItems,The following statement contains a magic number: return IfStringIdApplyStringIdValue (new[] {  	new TItem {  		SortOrder = 2'  		IntegerValue = 400'  		NullableIntegerValue = 400'  		StringValue = "D"'  		GuidValue = Guid.Parse ("00000004-0000-0000-0000-000000000000")'  		BoolValue = true  	}'  	new TItem {  		SortOrder = 2'  		IntegerValue = 300'  		NullableIntegerValue = 300'  		StringValue = "C"'  		GuidValue = Guid.Parse ("00000003-0000-0000-0000-000000000000")'  		BoolValue = true  	}'  	new TItem {  		SortOrder = 1'  		IntegerValue = 200'  		NullableIntegerValue = 200'  		StringValue = "B"'  		GuidValue = Guid.Parse ("00000002-0000-0000-0000-000000000000")'  		BoolValue = false  	}'  	new TItem {  		SortOrder = 1'  		IntegerValue = 100'  		NullableIntegerValue = 100'  		StringValue = "A"'  		GuidValue = Guid.Parse ("00000001-0000-0000-0000-000000000000")'  		BoolValue = false  	}  });  
Magic Number,SisoDb.Specifications.Model,QueryXItem,F:\newReposMay17\danielwertheim_SisoDb-Provider\Source\Tests\SisoDb.Specifications.Sql2012\..\sisodb.specifications\model\QueryXItem.cs,CreateFourUnorderedItems,The following statement contains a magic number: return IfStringIdApplyStringIdValue (new[] {  	new TItem {  		SortOrder = 2'  		IntegerValue = 400'  		NullableIntegerValue = 400'  		StringValue = "D"'  		GuidValue = Guid.Parse ("00000004-0000-0000-0000-000000000000")'  		BoolValue = true  	}'  	new TItem {  		SortOrder = 2'  		IntegerValue = 300'  		NullableIntegerValue = 300'  		StringValue = "C"'  		GuidValue = Guid.Parse ("00000003-0000-0000-0000-000000000000")'  		BoolValue = true  	}'  	new TItem {  		SortOrder = 1'  		IntegerValue = 200'  		NullableIntegerValue = 200'  		StringValue = "B"'  		GuidValue = Guid.Parse ("00000002-0000-0000-0000-000000000000")'  		BoolValue = false  	}'  	new TItem {  		SortOrder = 1'  		IntegerValue = 100'  		NullableIntegerValue = 100'  		StringValue = "A"'  		GuidValue = Guid.Parse ("00000001-0000-0000-0000-000000000000")'  		BoolValue = false  	}  });  
Magic Number,SisoDb.Specifications.Model,QueryXItem,F:\newReposMay17\danielwertheim_SisoDb-Provider\Source\Tests\SisoDb.Specifications.Sql2012\..\sisodb.specifications\model\QueryXItem.cs,CreateFourUnorderedItems,The following statement contains a magic number: return IfStringIdApplyStringIdValue (new[] {  	new TItem {  		SortOrder = 2'  		IntegerValue = 400'  		NullableIntegerValue = 400'  		StringValue = "D"'  		GuidValue = Guid.Parse ("00000004-0000-0000-0000-000000000000")'  		BoolValue = true  	}'  	new TItem {  		SortOrder = 2'  		IntegerValue = 300'  		NullableIntegerValue = 300'  		StringValue = "C"'  		GuidValue = Guid.Parse ("00000003-0000-0000-0000-000000000000")'  		BoolValue = true  	}'  	new TItem {  		SortOrder = 1'  		IntegerValue = 200'  		NullableIntegerValue = 200'  		StringValue = "B"'  		GuidValue = Guid.Parse ("00000002-0000-0000-0000-000000000000")'  		BoolValue = false  	}'  	new TItem {  		SortOrder = 1'  		IntegerValue = 100'  		NullableIntegerValue = 100'  		StringValue = "A"'  		GuidValue = Guid.Parse ("00000001-0000-0000-0000-000000000000")'  		BoolValue = false  	}  });  
Magic Number,SisoDb.Specifications.Model,QueryXItem,F:\newReposMay17\danielwertheim_SisoDb-Provider\Source\Tests\SisoDb.Specifications.Sql2012\..\sisodb.specifications\model\QueryXItem.cs,CreateFourUnorderedItems,The following statement contains a magic number: return IfStringIdApplyStringIdValue (new[] {  	new TItem {  		SortOrder = 2'  		IntegerValue = 400'  		NullableIntegerValue = 400'  		StringValue = "D"'  		GuidValue = Guid.Parse ("00000004-0000-0000-0000-000000000000")'  		BoolValue = true  	}'  	new TItem {  		SortOrder = 2'  		IntegerValue = 300'  		NullableIntegerValue = 300'  		StringValue = "C"'  		GuidValue = Guid.Parse ("00000003-0000-0000-0000-000000000000")'  		BoolValue = true  	}'  	new TItem {  		SortOrder = 1'  		IntegerValue = 200'  		NullableIntegerValue = 200'  		StringValue = "B"'  		GuidValue = Guid.Parse ("00000002-0000-0000-0000-000000000000")'  		BoolValue = false  	}'  	new TItem {  		SortOrder = 1'  		IntegerValue = 100'  		NullableIntegerValue = 100'  		StringValue = "A"'  		GuidValue = Guid.Parse ("00000001-0000-0000-0000-000000000000")'  		BoolValue = false  	}  });  
Magic Number,SisoDb.Specifications.Model,QueryXItem,F:\newReposMay17\danielwertheim_SisoDb-Provider\Source\Tests\SisoDb.Specifications.Sql2012\..\sisodb.specifications\model\QueryXItem.cs,CreateFourUnorderedItems,The following statement contains a magic number: return IfStringIdApplyStringIdValue (new[] {  	new TItem {  		SortOrder = 2'  		IntegerValue = 400'  		NullableIntegerValue = 400'  		StringValue = "D"'  		GuidValue = Guid.Parse ("00000004-0000-0000-0000-000000000000")'  		BoolValue = true  	}'  	new TItem {  		SortOrder = 2'  		IntegerValue = 300'  		NullableIntegerValue = 300'  		StringValue = "C"'  		GuidValue = Guid.Parse ("00000003-0000-0000-0000-000000000000")'  		BoolValue = true  	}'  	new TItem {  		SortOrder = 1'  		IntegerValue = 200'  		NullableIntegerValue = 200'  		StringValue = "B"'  		GuidValue = Guid.Parse ("00000002-0000-0000-0000-000000000000")'  		BoolValue = false  	}'  	new TItem {  		SortOrder = 1'  		IntegerValue = 100'  		NullableIntegerValue = 100'  		StringValue = "A"'  		GuidValue = Guid.Parse ("00000001-0000-0000-0000-000000000000")'  		BoolValue = false  	}  });  
Magic Number,SisoDb.Specifications.Model,QueryXItem,F:\newReposMay17\danielwertheim_SisoDb-Provider\Source\Tests\SisoDb.Specifications.Sql2012\..\sisodb.specifications\model\QueryXItem.cs,CreateFourUnorderedItems,The following statement contains a magic number: return IfStringIdApplyStringIdValue (new[] {  	new TItem {  		SortOrder = 2'  		IntegerValue = 400'  		NullableIntegerValue = 400'  		StringValue = "D"'  		GuidValue = Guid.Parse ("00000004-0000-0000-0000-000000000000")'  		BoolValue = true  	}'  	new TItem {  		SortOrder = 2'  		IntegerValue = 300'  		NullableIntegerValue = 300'  		StringValue = "C"'  		GuidValue = Guid.Parse ("00000003-0000-0000-0000-000000000000")'  		BoolValue = true  	}'  	new TItem {  		SortOrder = 1'  		IntegerValue = 200'  		NullableIntegerValue = 200'  		StringValue = "B"'  		GuidValue = Guid.Parse ("00000002-0000-0000-0000-000000000000")'  		BoolValue = false  	}'  	new TItem {  		SortOrder = 1'  		IntegerValue = 100'  		NullableIntegerValue = 100'  		StringValue = "A"'  		GuidValue = Guid.Parse ("00000001-0000-0000-0000-000000000000")'  		BoolValue = false  	}  });  
Magic Number,SisoDb.Specifications.Model,QueryXItem,F:\newReposMay17\danielwertheim_SisoDb-Provider\Source\Tests\SisoDb.Specifications.Sql2012\..\sisodb.specifications\model\QueryXItem.cs,CreateFourUnorderedItems,The following statement contains a magic number: return IfStringIdApplyStringIdValue (new[] {  	new TItem {  		SortOrder = 2'  		IntegerValue = 400'  		NullableIntegerValue = 400'  		StringValue = "D"'  		GuidValue = Guid.Parse ("00000004-0000-0000-0000-000000000000")'  		BoolValue = true  	}'  	new TItem {  		SortOrder = 2'  		IntegerValue = 300'  		NullableIntegerValue = 300'  		StringValue = "C"'  		GuidValue = Guid.Parse ("00000003-0000-0000-0000-000000000000")'  		BoolValue = true  	}'  	new TItem {  		SortOrder = 1'  		IntegerValue = 200'  		NullableIntegerValue = 200'  		StringValue = "B"'  		GuidValue = Guid.Parse ("00000002-0000-0000-0000-000000000000")'  		BoolValue = false  	}'  	new TItem {  		SortOrder = 1'  		IntegerValue = 100'  		NullableIntegerValue = 100'  		StringValue = "A"'  		GuidValue = Guid.Parse ("00000001-0000-0000-0000-000000000000")'  		BoolValue = false  	}  });  
Magic Number,SisoDb.Specifications.Model,SpatialDataFactory,F:\newReposMay17\danielwertheim_SisoDb-Provider\Source\Tests\SisoDb.Specifications.Sql2012\..\SisoDb.Specifications\Model\Spatial.cs,DefaultPolygon,The following statement contains a magic number: return new[] {  	new Coordinates {  		Latitude = 47.653'  		Longitude = -122.358  	}'  	new Coordinates {  		Latitude = 47.649'  		Longitude = -122.348  	}'  	new Coordinates {  		Latitude = 47.658'  		Longitude = -122.348  	}'  	new Coordinates {  		Latitude = 47.658'  		Longitude = -122.358  	}'  	new Coordinates {  		Latitude = 47.653'  		Longitude = -122.358  	}'  };  
Magic Number,SisoDb.Specifications.Model,SpatialDataFactory,F:\newReposMay17\danielwertheim_SisoDb-Provider\Source\Tests\SisoDb.Specifications.Sql2012\..\SisoDb.Specifications\Model\Spatial.cs,DefaultPolygon,The following statement contains a magic number: return new[] {  	new Coordinates {  		Latitude = 47.653'  		Longitude = -122.358  	}'  	new Coordinates {  		Latitude = 47.649'  		Longitude = -122.348  	}'  	new Coordinates {  		Latitude = 47.658'  		Longitude = -122.348  	}'  	new Coordinates {  		Latitude = 47.658'  		Longitude = -122.358  	}'  	new Coordinates {  		Latitude = 47.653'  		Longitude = -122.358  	}'  };  
Magic Number,SisoDb.Specifications.Model,SpatialDataFactory,F:\newReposMay17\danielwertheim_SisoDb-Provider\Source\Tests\SisoDb.Specifications.Sql2012\..\SisoDb.Specifications\Model\Spatial.cs,DefaultPolygon,The following statement contains a magic number: return new[] {  	new Coordinates {  		Latitude = 47.653'  		Longitude = -122.358  	}'  	new Coordinates {  		Latitude = 47.649'  		Longitude = -122.348  	}'  	new Coordinates {  		Latitude = 47.658'  		Longitude = -122.348  	}'  	new Coordinates {  		Latitude = 47.658'  		Longitude = -122.358  	}'  	new Coordinates {  		Latitude = 47.653'  		Longitude = -122.358  	}'  };  
Magic Number,SisoDb.Specifications.Model,SpatialDataFactory,F:\newReposMay17\danielwertheim_SisoDb-Provider\Source\Tests\SisoDb.Specifications.Sql2012\..\SisoDb.Specifications\Model\Spatial.cs,DefaultPolygon,The following statement contains a magic number: return new[] {  	new Coordinates {  		Latitude = 47.653'  		Longitude = -122.358  	}'  	new Coordinates {  		Latitude = 47.649'  		Longitude = -122.348  	}'  	new Coordinates {  		Latitude = 47.658'  		Longitude = -122.348  	}'  	new Coordinates {  		Latitude = 47.658'  		Longitude = -122.358  	}'  	new Coordinates {  		Latitude = 47.653'  		Longitude = -122.358  	}'  };  
Magic Number,SisoDb.Specifications.Model,SpatialDataFactory,F:\newReposMay17\danielwertheim_SisoDb-Provider\Source\Tests\SisoDb.Specifications.Sql2012\..\SisoDb.Specifications\Model\Spatial.cs,DefaultPolygon,The following statement contains a magic number: return new[] {  	new Coordinates {  		Latitude = 47.653'  		Longitude = -122.358  	}'  	new Coordinates {  		Latitude = 47.649'  		Longitude = -122.348  	}'  	new Coordinates {  		Latitude = 47.658'  		Longitude = -122.348  	}'  	new Coordinates {  		Latitude = 47.658'  		Longitude = -122.358  	}'  	new Coordinates {  		Latitude = 47.653'  		Longitude = -122.358  	}'  };  
Magic Number,SisoDb.Specifications.Model,SpatialDataFactory,F:\newReposMay17\danielwertheim_SisoDb-Provider\Source\Tests\SisoDb.Specifications.Sql2012\..\SisoDb.Specifications\Model\Spatial.cs,DefaultPolygon,The following statement contains a magic number: return new[] {  	new Coordinates {  		Latitude = 47.653'  		Longitude = -122.358  	}'  	new Coordinates {  		Latitude = 47.649'  		Longitude = -122.348  	}'  	new Coordinates {  		Latitude = 47.658'  		Longitude = -122.348  	}'  	new Coordinates {  		Latitude = 47.658'  		Longitude = -122.358  	}'  	new Coordinates {  		Latitude = 47.653'  		Longitude = -122.358  	}'  };  
